name,detail,cover,price,kind
蛤蟆先生去看心理医生（年销200万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,http://product.dangdang.com/28992419.html,http://img3m9.ddimg.cn/71/33/28992419-1_l_45.jpg,19.00,心理学
月光落在左手上（精装珍藏版）,http://product.dangdang.com/29126248.html,http://img3m8.ddimg.cn/52/33/29126248-1_l_11.jpg,29.00,文学
次第花开 修订版,http://product.dangdang.com/24184084.html,http://img3m4.ddimg.cn/67/33/24184084-1_l_9.jpg,19.90,哲学/宗教
非常疑犯（“法医笔记”系列重磅新作。《时代周刊》报道的中国法医，根据追踪10年的连环杀人案写成。有声剧播放超1000万。）,http://product.dangdang.com/29294634.html,http://img3m4.ddimg.cn/39/32/29294634-1_l_20.jpg,26.00,小说
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,http://product.dangdang.com/23579654.html,http://img3m4.ddimg.cn/32/35/23579654-1_l_6.jpg,46.50,小说
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超200万册）,http://product.dangdang.com/26921715.html,http://img3m5.ddimg.cn/51/34/26921715-1_l_8.jpg,27.50,小说
你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,http://product.dangdang.com/28473192.html,http://img3m2.ddimg.cn/0/27/28473192-1_l_11.jpg,34.80,文学
马尔克斯：百年孤独（50周年纪念版）,http://product.dangdang.com/25138856.html,http://img3m6.ddimg.cn/83/20/25138856-1_l_6.jpg,39.60,小说
少年读史记（套装全5册）,http://product.dangdang.com/23778791.html,http://img3m1.ddimg.cn/80/1/23778791-1_l_27.jpg,50.00,童书
南宋不忍细看：一窥南宋历代君臣的真实面目,http://product.dangdang.com/29285765.html,http://img3m5.ddimg.cn/80/6/29285765-1_l_8.jpg,22.10,历史
遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）,http://product.dangdang.com/25353527.html,http://img3m7.ddimg.cn/23/17/25353527-1_l_4.jpg,24.00,小说
心安即是归处（季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇，贾平凹、白岩松、金庸、林青霞诚意推荐）,http://product.dangdang.com/28976722.html,http://img3m2.ddimg.cn/16/24/28976722-1_l_43.jpg,24.50,文学
世界尽头的咖啡馆（做决定前读一遍，少走弯路！美国57所高校指定研讨读物）,http://product.dangdang.com/27869614.html,http://img3m4.ddimg.cn/25/30/27869614-1_l_11.jpg,22.50,心理学
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,http://product.dangdang.com/25119332.html,http://img3m2.ddimg.cn/62/32/25119332-1_l_15.jpg,32.60,小说
复活（精装大开本，托尔斯泰三部曲之一，草婴翻译，无删节全译本）,http://product.dangdang.com/28473429.html,http://img3m9.ddimg.cn/39/5/28473429-1_l_14.jpg,34.40,小说
云边有个小卖部（陆定昊诚挚推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,http://product.dangdang.com/25295369.html,http://img3m9.ddimg.cn/77/23/25295369-1_l_37.jpg,28.70,小说
沟通的方法（别怕，沟通是场无限游戏。得到CEO脱不花为你备好的沟通心法，助你在职场上一路开挂）团购电话:4001066666转6,http://product.dangdang.com/29251809.html,http://img3m9.ddimg.cn/81/16/29251809-1_l_43.jpg,69.00,成功/励志
乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫・勒庞代表作之一。极简翻译文风，语言深入浅出，减少艰深晦涩）,http://product.dangdang.com/25246609.html,http://img3m9.ddimg.cn/25/29/25246609-1_l_22.jpg,12.30,心理学
杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,http://product.dangdang.com/24185602.html,http://img3m2.ddimg.cn/1/34/24185602-1_l_25037.jpg,28.80,小说
东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,http://product.dangdang.com/24041704.html,http://img3m4.ddimg.cn/49/29/24041704-1_l_13.jpg,19.75,小说
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,http://product.dangdang.com/28518072.html,http://img3m2.ddimg.cn/33/26/28518072-1_l_7.jpg,33.00,成功/励志
平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年的不朽经典）,http://product.dangdang.com/29253544.html,http://img3m4.ddimg.cn/34/12/29253544-1_l_14.jpg,99.30,小说
消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）,http://product.dangdang.com/28542693.html,http://img3m3.ddimg.cn/3/5/28542693-1_l_11.jpg,21.00,小说
文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,http://product.dangdang.com/29199440.html,http://img3m0.ddimg.cn/83/2/29199440-1_l_22.jpg,34.81,小说
锦绣旗袍 (全二册),http://product.dangdang.com/24144501.html,http://img3m1.ddimg.cn/84/3/24144501-1_l_14.jpg,18.78,小说
东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）,http://product.dangdang.com/29117361.html,http://img3m1.ddimg.cn/75/26/29117361-1_l_11.jpg,29.50,小说
小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,http://product.dangdang.com/29177871.html,http://img3m1.ddimg.cn/96/4/29177871-1_l_15.jpg,19.90,童书
罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白里拷打出罪恶，也能从罪恶中拷打出洁白）,http://product.dangdang.com/29138984.html,http://img3m4.ddimg.cn/17/4/29138984-1_l_8.jpg,40.00,小说
人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、《读者》2019年度“十大影响力好书”、人民日报力荐2020新年书单。）,http://product.dangdang.com/27931206.html,http://img3m6.ddimg.cn/39/17/27931206-1_l_576.jpg,23.50,成功/励志
人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人生真谛，帮你重遇未知的自己，逆袭人生！）,http://product.dangdang.com/23394853.html,http://img3m3.ddimg.cn/64/12/23394853-1_l_31.jpg,16.40,成功/励志
余秀华作品3册精选套装（月光落在左手上+我们爱过又忘记+无端欢喜）,http://product.dangdang.com/29137632.html,http://img3m2.ddimg.cn/51/21/29137632-1_l_2.jpg,77.50,文学
大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文、阅读、古诗、古文一网打尽。,http://product.dangdang.com/29194673.html,http://img3m3.ddimg.cn/68/8/29194673-1_l_29.jpg,89.10,童书
如何说孩子才会听 怎么听孩子才肯说（全新修订版，涂磊推荐）,http://product.dangdang.com/24044642.html,http://img3m2.ddimg.cn/17/7/24044642-1_l_18.jpg,17.50,亲子/家教
人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威格的传记杰作，14位时代英雄，14个人类命运攸关的历史时刻）,http://product.dangdang.com/25215595.html,http://img3m5.ddimg.cn/97/21/25215595-1_l_8.jpg,13.80,传记
人间词话（王国维先生的代表作，近代较富盛名的词话著作）,http://product.dangdang.com/23715237.html,http://img3m7.ddimg.cn/84/13/23715237-1_l_15.jpg,14.10,文学
流浪的地球（《三体》作者刘慈欣绚丽想象力之作，大人孩子均可阅读。),http://product.dangdang.com/25259300.html,http://img3m0.ddimg.cn/44/29/25259300-1_l_27.jpg,14.30,童书
在峡江的转弯处：陈行甲人生笔记,http://product.dangdang.com/29180001.html,http://img3m1.ddimg.cn/48/25/29180001-1_l_17.jpg,24.00,文学
围城,http://product.dangdang.com/22819334.html,http://img3m4.ddimg.cn/32/28/22819334-1_l_3.jpg,22.00,小说
毛泽东选集（全四册，32开）,http://product.dangdang.com/23413230.html,http://img3m0.ddimg.cn/27/0/23413230-1_l_3.jpg,56.70,政治/军事
月亮和六便士（毛姆代表作之一，全新导读+无删节详注版）,http://product.dangdang.com/25126128.html,http://img3m8.ddimg.cn/27/20/25126128-1_l_17.jpg,12.70,小说
我身边的植物朋友（全三册）,http://product.dangdang.com/25352997.html,http://img3m7.ddimg.cn/87/5/25352997-1_l_1.jpg,101.50,童书
钱穆谈中国历史文化：中国历史精神,http://product.dangdang.com/27874588.html,http://img3m8.ddimg.cn/49/9/27874588-1_l_16.jpg,12.80,历史
中华人民共和国民法典（实用版）2021年1月起正式施行  团购电话：4001066666转6,http://product.dangdang.com/28558295.html,http://img3m5.ddimg.cn/62/30/28558295-1_l_7.jpg,29.20,法律
作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻人的梦想之书！满地都是六便士，他却抬头看见了月亮！）,http://product.dangdang.com/24175371.html,http://img3m1.ddimg.cn/66/15/24175371-1_l_257.jpg,19.90,小说
大宇宙  和爸妈游太空  给孩子的手绘天文绘本,http://product.dangdang.com/28526631.html,http://img3m1.ddimg.cn/78/1/28526631-1_l_6.jpg,63.10,童书
财务自由之路（全三册）当当专享版 赠送精美书签,http://product.dangdang.com/26511903.html,http://img3m3.ddimg.cn/0/34/26511903-1_l_11.jpg,64.20,投资理财
月亮与六便士（精装典藏版，未删节全译+详细详注+12幅高更画作+14幅毛姆照片）,http://product.dangdang.com/27874293.html,http://img3m3.ddimg.cn/51/10/27874293-1_l_9.jpg,21.20,小说
也许你该找个人聊聊（继《蛤蟆先生去看心理医生》后，又一个关于心理咨询的动人故事；美国心理学泰斗欧文・亚隆推荐，李松蔚审校并作序）,http://product.dangdang.com/29262795.html,http://img3m5.ddimg.cn/78/13/29262795-1_l_9.jpg,34.00,心理学
马伯庸笑翻中国简史(一部简练、有趣又生动的两千年中国通史),http://product.dangdang.com/28524516.html,http://img3m6.ddimg.cn/42/32/28524516-1_l_3.jpg,24.90,历史
父与子全集（全彩版。一代幽默大师卜劳恩的爆笑暖心漫画）,http://product.dangdang.com/25061583.html,http://img3m3.ddimg.cn/30/3/25061583-1_l_12.jpg,17.70,动漫/幽默
精灵鼠科学童话绘本：下水道历险记,http://product.dangdang.com/24040724.html,http://img3m4.ddimg.cn/59/11/24040724-1_l_7.jpg,7.40,童书
米小圈上学记一年级（套装共4册）,http://product.dangdang.com/25261327.html,http://img3m7.ddimg.cn/91/21/25261327-1_l_12.jpg,49.00,童书
沉思录,http://product.dangdang.com/20086549.html,http://img3m9.ddimg.cn/43/26/20086549-1_l_3.jpg,9.00,哲学/宗教
